Date,Total_loans_total,Total_loans_overdue,Total_loans_share_pct,Trade_services_total,Trade_services_share_pct,Mining_energy_total,Mining_energy_share_pct,Agriculture_total,Agriculture_share_pct,Construction_total,Construction_share_pct,Industry_manufacturing_total,Industry_manufacturing_share_pct,Transport_communication_total,Transport_communication_share_pct,Households_total,Households_share_pct,Real_estate_mortgage_total,Real_estate_mortgage_share_pct,State_entities_total,State_entities_share_pct,Budget_orgs_total,Budget_orgs_share_pct,Other_sectors_total,Other_sectors_share_pct,Letter_of_credit_total,Letter_of_credit_share_pct,Guarantees_total,Guarantees_share_pct,Factoring_total,Factoring_share_pct,Overdraft_total,Overdraft_share_pct,Financial_sector_loans_total
2005,"1441,0","68,2","4,7","361,0","25,1","181,4","12,6","97,6","6,8","82,2","5,7","83,3","5,8","128,2","8,9","389,2","27,0",,,"0,5","0,0","8,2","0,6","11,6","0,8","1,2","0,1","4,6","0,3","20,1","1,4","3,6","0,2","45,8"
2006,"2362,7","77,7","3,3","647,2","27,4","92,2","3,9","136,5","5,8","152,5","6,5","192,6","8,2","214,9","9,1","778,0","32,9","63,3","2,7","1,2","0,1","18,2","0,8","10,4","0,4","2,0","0,1","13,2","0,6","20,4","0,9","5,9","0,3","47,1"
2007,"4681,8","100,3","2,1","1194,0","25,5","302,0","6,5","197,2","4,2","312,3","6,7","308,0","6,6","469,6","10,0","1657,2","35,4","171,6","3,7","3,1","0,1","64,8","1,4","28,1","0,6","12,8","0,3","17,4","0,4","9,7","0,2","5,2","0,1","111,5"
2008,"7191,3","159,8","2,2","1911,3","26,6","855,7","11,9","261,5","3,6","461,4","6,4","427,5","5,9","669,1","9,3","2334,9","32,5","197,6","2,7","7,1","0,1","0,6","0,0","48,1","0,7","43,6","0,6","0,0","0,0","0,5","0,0","10,2","0,1","180,6"
2009,"8407,5","303,5","3,6","1834,0","21,8","1522,0","18,1","394,8","4,7","576,5","6,9","536,9","6,4","520,4","6,2","2328,9","27,7","254,6","3,0","1,0","0,0","0,6","0,0","57,5","0,7","284,5","3,4","18,5","0,2","19,8","0,2","8,7","0,1","165,6"
2010,"9163,4","492,9","5,4","2206,8","24,1","984,0","10,7","441,3","4,8","660,6","7,2","682,4","7,4","454,4","5,0","2700,8","29,5","401,4","4,4","0,7","0,0","1,0","0,0","46,0","0,5","430,8","4,7","44,1","0,5","7,7","0,1","9,9","0,1","146,3"
2011,"9850,3","633,8","6,4","2744,4","27,9","289,7","2,9","466,7","4,7","875,3","8,9","582,9","5,9","409,7","4,2","3315,0","33,7","575,8","5,8","1,0","0,0","1,0","0,0","46,8","0,5","419,9","4,3","49,1","0,5","2,8","0,0","12,2","0,1","176,4"
2012,"12243,7","748,8","6,1","2649,3","21,6","396,7","3,2","546,2","4,5","1270,3","10,4","1297,6","10,6","429,1","3,5","4316,7","35,3","703,7","5,7","0,6","0,0","0,5","0,0","17,2","0,1","480,9","3,9","44,1","0,4","43,2","0,4","2,3","0,0","176,1"
2013,"15422,9","792,8","5,1","2219,9","14,4","288,2","1,9","733,3","4,8","2362,6","15,3","1516,4","9,8","506,0","3,3","6214,7","40,3","890,8","5,8","6,1","0,0","1,2","0,0","233,7","1,5","492,5","3,2","39,8","0,3","3,1","0,0","12,8","0,1","247,2"
1,"12479,3","763,8","6,1","2546,4","20,4","377,0","3,0","549,4","4,4","1291,1","10,3","1428,2","11,4","391,3","3,1","4452,0","35,7","704,3","5,6","6,6","0,1","0,7","0,0","142,0","1,1","478,2","3,8","44,2","0,4","0,1","0,0","8,2","0,1","148,5"
