Date,Total_loans_mln_manat,State_owned_banks_mln_manat,State_owned_banks_share_pct,Private_banks_total_mln_manat,Private_banks_total_share_pct,Private_banks_foreign_capital_mln_manat,Private_banks_foreign_capital_share_pct,Private_banks_100pct_foreign_mln_manat,Private_banks_100pct_foreign_share_pct,Non_bank_credit_institutions_mln_manat,Non_bank_credit_institutions_share_pct
2005,"1441,0","748,3","51,9","653,1","45,3","263,5","18,3","25,9","1,8","39,6","2,7"
2006,"2362,7","1068,3","45,2","1229,7","52,0","545,8","23,1","55,8","2,4","64,7","2,7"
2007,"4681,8","1990,7","42,5","2563,0","54,7","1437,6","30,7","216,2","4,6","128,1","2,7"
2008,"7191,3","3027,5","42,1","3989,0","55,5","2024,9","28,2","379,9","5,3","174,8","2,4"
2009,"8407,5","3911,7","46,5","4318,7","51,4","2074,4","24,7","386,6","4,6","177,0","2,1"
2010,"9163,4","3901,9","42,6","5069,9","55,3","2306,3","25,2","464,2","5,1","191,6","2,1"
2011,"9850,3","3300,0","33,5","6298,8","63,9","3002,0","30,5","586,2","6,0","251,5","2,6"
2012,"12243,7","4137,1","33,8","7785,5","63,6","3394,0","27,7","759,3","6,2","321,1","2,6"
2013,"15422,9","5300,4","34,4","9689,4","62,8","4612,5","29,9","1034,7","6,7","433,1","2,8"
1,"12479,3","4206,3","33,7","7925,3","63,5","3541,6","28,4","770,5","6,2","347,7","2,8"
2,"12207,9","4217,4","34,5","7642,8","62,6","3603,5","29,5","790,2","6,5","347,7","2,8"
3,"12451,1","4296,5","34,5","7807,0","62,7","3724,5","29,9","808,4","6,5","347,7","2,8"
4,"13019,5","4445,3","34,1","8220,5","63,1","3855,4","29,6","836,3","6,4","353,7","2,7"
5,"13406,3","4570,5","34,1","8482,1","63,3","3977,7","29,7","870,9","6,5","353,7","2,6"
6,"13774,1","4750,4","34,5","8670,1","62,9","4047,5","29,4","889,6","6,5","353,7","2,6"
7,"14199,3","4888,1","34,4","8918,8","62,8","4203,6","29,6","919,9","6,5","392,3","2,8"
8,"14455,1","5004,5","34,6","9058,2","62,7","4291,1","29,7","937,1","6,5","392,3","2,7"
9,"14793,3","5135,0","34,7","9266,0","62,6","4369,8","29,5","969,7","6,6","392,3","2,7"
10,"14991,4","5137,8","34,3","9420,4","62,8","4372,1","29,2","969,7","6,5","433,1","2,9"
11,"15245,3","5217,0","34,2","9595,2","62,9","4613,6","30,3","1034,8","6,8","433,1","2,8"
12,"15422,9","5300,4","34,4","9689,4","62,8","4612,5","29,9","1034,7","6,7","433,1","2,8"
2014,"18542,6","6143,8","33,1","11873,6","64,0","5580,1","30,1","1388,6","7,5","525,2","2,8"
1,"15484,6","5272,0","34,0","9750,1","63,0","4766,4","30,8","1082,7","7,0","462,6","3,0"
2,"15616,3","5274,2","33,8","9879,6","63,3","4799,2","30,7","1100,5","7,0","462,6","3,0"
3,"15889,5","5416,2","34,1","10010,8","63,0","4839,2","30,5","1125,4","7,1","462,6","2,9"
4,"16245,4","5534,4","34,1","10241,2","63,0","4907,5","30,2","1130,6","7,0","469,8","2,9"
5,"16595,4","5700,0","34,3","10425,5","62,8","5142,5","31,0","1210,0","7,3","469,8","2,8"
6,"16754,8","5785,2","34,5","10499,7","62,7","5224,7","31,2","1374,0","8,2","469,8","2,8"
7,"17034,0","5894,3","34,6","10637,6","62,4","5281,7","31,0","1252,6","7,4","502,1","2,9"
8,"17308,9","5977,2","34,5","10829,6","62,6","5279,8","30,5","1252,5","7,2","502,1","2,9"
9,"17631,6","6061,7","34,4","11067,8","62,8","5418,9","30,7","1296,8","7,4","502,1","2,8"
10,"17841,5","6065,3","34,0","11251,0","63,1","5445,5","30,5","1322,1","7,4","525,2","2,9"
11,"18151,9","6137,9","33,8","11488,8","63,3","5550,6","30,6","1343,4","7,4","525,2","2,9"
12,"18542,6","6143,8","33,1","11873,6","64,0","5580,1","30,1","1388,6","7,5","525,2","2,8"
2015,"21730,4","7289,3","33,6","13875,2","63,8","6394,1","29,4","1564,5","7,2","566,0","2,6"
1,"18579,8","6391,1","34,4","11629,0","62,6","5834,0","31,4","1397,9","7,5","559,5","3,0"
2,"20697,2","7438,7","35,9","12699,1","61,4","6450,3","31,2","1587,3","7,7","559,5","2,7"
3,"20632,3","7440,8","36,1","12632,0","61,2","6303,0","30,5","1525,3","7,4","559,5","2,7"
4,"20595,5","7414,0","36,0","12590,9","61,1","6183,3","30,0","1483,9","7,2","590,6","2,9"
5,"20468,1","7335,6","35,8","12542,0","61,3","6053,6","29,6","1445,3","7,1","590,6","2,9"
6,"20288,5","7228,7","35,6","12469,1","61,5","5913,1","29,1","1410,8","7,0","590,6","2,9"
7,"20187,5","7225,1","35,8","12376,3","61,3","5833,4","28,9","1401,3","6,9","586,0","2,9"
8,"20095,8","7261,8","36,1","12247,9","60,9","5742,7","28,6","1373,4","6,8","586,0","2,9"
9,"19113,5","6384,8","33,4","12142,7","63,5","5689,6","29,8","1348,5","7,1","586,0","3,1"
10,"18566,4","5836,7","34,4","12163,7","65,5","5568,6","30,0","1309,4","7,1","566,0","3,0"
11,18744.3,"6148,6","32,8","12029,7","64,2","5540,5","29,6","1275,5","6,8","566,0","3,0"
12,"21730,4","7289,3","33,6","13875,2","63,8","6394,1","29,4","1564,5","7,2","566,0","2,6"
2016,"16444,6","5749,2","35,0","10222,0","62,2","4328,8","26,3","1248,8","7,6","473,4","2,9"
1,"21199,5","7707,0","36,4","12896,9","60,8","5594,4","26,4","1545,8","7,3","595,5","2,8"
2,"20327,4","7170,1","35,3","12561,8","61,8","5594,4","27,5","1545,8","7,6","595,5","2,9"
