Date,Total_deposits,deposits_manat_demand,deposits_manat_time,deposits_fx_demand,deposits_fx_time
2007,"4127,2","962,8","939,4","754,2","1470,8"
2008,"6460,2","1054,10","1240,06","1025,28","3140,74"
2009,"6379,1","1132,99","1220,34","1057,78","2968,01"
2010,"7625,8","1486,3","1719,0","1438,6","2981,9"
2011,"9447,0","1756,59","2524,09","1671,92","3494,40"
2012,"10699,2","1981,11","3081,44","1645,11","3991,59"
2013,,,,,
1,"10357,6","1851,7","3209,9","1514,5","3781,5"
2,"10446,9","2015,8","3232,9","1375,9","3822,3"
3,"11012,7","2104,0","3259,0","1819,5","3830,2"
4,"11405,3","2227,9","3471,5","1736,9","3969,0"
5,"11434,8","2182,2","3552,5","1804,2","3895,9"
6,"11399,9","2243,1","3543,2","1523,1","4090,5"
7,"11655,1","2168,4","3648,3","1705,4","4133,0"
8,"11661,5","2286,7","3730,1","1862,3","3782,4"
9,"11929,4","2269,1","3813,4","1603,7","4243,1"
10,"12042,3","2199,0","3931,1","1628,2","4283,9"
11,"12432,7","2229,9","3967,9","1716,4","4518,5"
12,"12475,8","2326,6","4084,3","1441,7","4623,2"
2014,,,,,
1,"12683,0","2406,3","4095,3","1480,4","4701,0"
2,"12926,6","2476,6","4146,7","1505,3","4798,0"
3,"13308,1","2395,6","4200,7","1720,4","4991,4"
4,"13615,6","2413,0","4418,5","1920,1","4864,0"
5,"13637,0","2364,7","4519,9","1710,2","5042,2"
6,"13991,4","2416,5","4667,4","1492,0","5415,5"
7,"14558,1","2579,4","4775,8","1794,1","5408,9"
8,"14639,8","2559,7","4833,0","1866,7","5380,4"
9,"14531,5","2494,8","4921,8","1747,0","5367,9"
10,"14826,7","2405,5","5079,6","1764,5","5577,0"
11,"15312,0","2484,5","5158,6","2048,9","5620,1"
12,"15453,4","2734,4","5009,1","1798,8","5911,0"
2015,,,,,
1,"15134,7","2456,9","4873,1","1821,6","5983,4"
2,"18481,7","2258,2","3861,6","2737,6","9624,3"
3,"18519,1","2007,4","3539,4","3119,6","9852,7"
4,"18831,1","1958,6","3048,5","3110,5","10713,5"
5,"18575,3","1962,3","2994,7","3186,2","10432,1"
6,"18231,6","2031,6","3002,5","3270,0","9927,4"
7,"18213,6","1925,4","2954,3","3465,7","9868,1"
8,"17658,1","1665,6","2768,8","3448,0","9775,6"
9,"17477,5","1809,5","2488,4","3712,6","9466,9"
10,"17150,5","1860,9","2453,8","3341,7","9494,1"
11,"17598,9","1873,0","2368,9","3773,1","9583,9"
12,"23431,4","2233,2","2068,5","5739,5","13390,2"
2016,,,,,
1,"22576,5","1853,3","2162,0","4993,0","13568,2"
2,"21285,4","1908,8","2269,8","4685,5","12421,2"
3,"23121,6","2085,1","2316,1","5574,8","13145,7"
4,"22558,1","2189,0","2145,5","5509,7","12713,8"
5,"23148,1","2241,8","2209,0","5512,9","13184,3"
6,"23366,8","2483,3","2140,3","5407,8","13335,4"
7,"23248,9","2612,0","2033,8","5207,4","13395,6"
8,"23673,8","2445,0","2041,6","5342,2","13845,0"
9,"22841,8","2917,4","1961,8","4813,8","13148,8"
10,"22227,4","2584,2","2861,0","5098,6","11683,6"
11,"22651,2","2675,1","2855,6","5054,9","12065,5"
12,"22091,0","2635,1","2823,9","4803,3","11828,7"
2017,,,,,
1,"23215,0","2328,1","2835,3","5568,0","12483,5"
2,"21761,5","2284,6","2800,4","5444,1","11232,4"
3,"21295,9","2310,4","2844,9","4635,5","11505,1"
4,"22148,6","2634,1","2936,9","5321,6","11256,0"
5,"21594,7","2419,6","2934,5","5882,6","10358,0"
6,"21595,4","2535,9","2480,1","5803,0","10776,4"
7,"21352,5","2400,8","2364,2","5701,6","10885,8"
8,"21008,0","2488,2","2218,3","5863,6","10437,9"
9,"19484,2","2788,6","2153,2","6061,9","8480,6"
10,"19696,7","2729,2","2304,3","6328,4","8334,8"
11,"19635,3","3066,8","2414,9","6118,8","8034,8"
12,"20599,1","3287,8","2397,8","7015,3","7898,2"
2018,,,,,
1,"20861,5","2934,1","2559,2","7533,1","7835,1"
2,"20686,6","3192,9","2637,1","7247,4","7609,3"
3,"20328,7","3400,6","2660,4","6839,6","7428,0"
4,"20201,7","3410,4","2578,8","6966,5","7246,0"
5,"20130,5","3350,9","2670,2","6554,7","7554,7"
6,"20439,1","3618,6","2685,3","6448,0","7687,2"
7,"20491,2","3759,6","2670,6","6481,1","7579,9"
8,"20590,6","3808,5","2635,5","6421,1","7725,5"
9,"21583,6","4430,5","2609,4","6863,7","7680,0"
10,"22003,1","4730,6","2623,0","6997,4","7652,2"
11,"21990,1","4672,5","2721,8","7203,9","7391,9"
12,"21870,4","4935,5","2646,2","7078,3","7210,4"
2019,,,,,
1,"21978,1","4652,7","2715,9","7149,6","7460,0"
2,"22401,6","5053,8","2776,7","7424,7","7146,3"
3,"22124,3","4595,5","2909,6","7494,2","7124,9"
4,"22132,0","4939,8","2978,2","7180,1","7034,0"
5,"21982,2","5150,3","2926,8","6784,6","7120,6"
6,"22128,0","5261,0","2954,6","6452,3","7460,1"
7,"22383,9","5398,4","3034,5","6233,1","7717,9"
8,"22447,3","5218,5","3097,6","6325,3","7805,9"
9,"23437,2","5454,6","3087,8","6926,9","7967,8"
10,"23413,5","5437,5","3138,5","6993,1","7844,5"
11,"23579,1","5636,1","3130,9","6830,3","7981,8"
12,"24746,0","6440,1","3217,5","7083,4","8005,0"
2020,,,,,
1,"24837,1","6388,6","3245,2","7612,6","7590,7"
2,"24934,6","6514,9","3297,3","7272,9","7849,5"
3,"24085,1","5927,4","3130,5","7152,5","7874,6"
4,"23380,8","6032,0","2921,0","6783,2","7644,6"
5,"23357,3","6381,0","2748,2","6762,2","7465,8"
6,"22565,5","6238,2","2692,0","6144,2","7491,1"
7,"22532,1","6387,6","2839,7","5879,5","7425,3"
8,"22727,8","6360,2","2891,6","6248,0","7228,1"
9,"22495,1","6557,1","2987,8","6198,8","6751,4"
10,"22442,1","6669,0","2898,6","6122,0","6752,4"
11,"22305,8","6304,4","3001,6","6334,4","6665,4"
12,"23666,9","7416,7","2911,3","6696,1","6642,8"
2021,,,,,
1,"23189,3","7086,9","3012,9","6534,5","6555,0"
2,"23489,1","7368,7","3052,5","6661,9","6406,1"
3,"23825,9","7612,4","3120,1","6726,1","6367,3"
4,"24213,2","7998,2","3249,9","6591,4","6373,8"
5,"24991,2","8564,2","3332,3","6519,2","6575,6"
6,"24156,6","8268,5","3412,1","6993,1","5482,9"
7,"24926,9","8262,6","3559,7","7410,8","5693,8"
8,"24791,9","8554,2","3559,8","6975,0","5702,8"
9,"25705,5","8801,4","3709,9","7701,8","5492,3"
10,"26114,8","8932,0","3751,8","7973,1","5492,3"
11,"26790,9","9311,3","3817,7","8271,3","5390,5"
12,"29027,7","10754,2","3927,6","8975,0","5371,0"
2022,,,,,
1,"29017,0","10189,0","3953,2","9544,8","5330,0"
2,"29170,8","10184,1","4077,3","9618,1","5291,3"
3,"30508,5","10789,2","4092,5","10315,7","5311,0"
4,"30890,4","10983,2","4210,1","10486,1","5211,1"
5,"32025,3","11490,5","4280,3","11121,5","5132,9"
6,"32417,1","11717,4","4460,4","10827,6","5411,6"
7,"31957,3","11166,9","4693,3","10573,5","5523,6"
8,"32836,1","11854,6","4781,8","10711,0","5488,7"
9,"33957,0","12360,8","4929,9","11217,5","5448,8"
10,"34806,3","12974,9","5066,0","11350,2","5415,2"
11,"35484,2","12927,7","5192,2","11903,8","5460,4"
12,"36249,8","13387,2","5317,4","12139,1","5406,1"
2023,,,,,
1,"35552,9","12803,3","5422,9","11980,3","5346,4"
2,"35179,2","12410,4","5630,1","11394,8","5744,0"
3,"34554,8","12960,7","5703,3","10161,5","5729,3"
4,"35202,4","13157,5","5758,4","10533,3","5753,2"
5,"35393,1","13216,8","5891,4","10595,7","5689,2"
6,"34512,9","13490,6","5927,9","9182,6","5911,9"
7,"34023,5","13605,7","6163,8","8330,7","5923,3"
8,"34325,1","13834,6","6491,8","8058,3","5940,4"
9,"34230,5","14127,7","6394,1","7718,5","5990,3"
10,"34991,3","14146,9","6428,9","8647,8","5767,6"
11,"35128,8","14619,3","6621,7","8023,4","5864,4"
12,"36965,1","15001,3","7242,5","8617,5","6103,8"
2024,,,,,
1,"37588,9","14698,6","7242,6","8996,3","6651,5"
2,"37154,2","15067,9","7109,3","8179,6","6797,4"
3,"37127,6","14583,6","7340,7","8631,2","6572,2"
4,"37547,3","14273,1","7532,6","9195,3","6546,4"
5,"37471,6","14136,4","8077,2","8427,4","6830,5"
6,"38212,9","14482,5","8513,7","8539,5","6677,2"
7,"36976,6","13864,2","8606,9","7600,7","6904,8"
8,"37397,5","13628,3","8599,6","8340,7","6828,9"
9,"38335,4","14330,9","8944,8","8627,0","6432,7"
10,"37022,1","12982,7","9435,5","8177,2","6426,7"
11,"37627,1","13415,3","9277,3","8345,9","6588,6"
12,"40270,8","15443,0","9348,9","8630,4","6848,5"
2025,,,,,
1,"40175,2","13632,8","10107,6","9594,4","6840,4"
2,"40420,5","13918,4","9787,0","9916,3","6798,7"
3,"40474,7","13535,5","10078,9","9896,0","6964,3"
4,"41433,5","13330,5","11487,5","9797,7","6817,7"
5,"43207,1","13386,1","11906,9","11141,2","6772,9"
6,"42954,0","13976,7","12496,6","9537,7","6943,0"
7,"41776,1","13423,4","12389,7","9001,2","6961,7"
8,"41441,3","13368,8","12017,4","9043,6","7011,5"
9,"41700,9","13504,4","12232,6","8898,1","7065,8"
10,"41589,4","13062,3","12860,8","8523,0","7143,4"
11,"43281,2","13303,3","13557,5","9285,6","7134,8"
12,"41726,3","15370,9","10986,9","7819,0","7549,5"
