date,budget_revenue,udm_share_revenue,budget_expences,udm_share_expences,budget_initial,udm_share_initial
2005,"2055,2","17,3","2140,7","18,0","-85,5","-0,7"
2006,"3868,8","21,9","3790,1","21,4","78,6","0,5"
2007,"6006,6","23,8","6086,2","24,0","-79,6","-0,2"
2008,"10762,0","26,8","10774,2","26,6","-12,2","0,2"
2009,"10325,9","29,9","10503,9","30,6","-178,0","-0,7"
2010,"11403,0","27,4","11765,9","28,3","-363,5","0,9"
2011,"15700,7","31,4","15397,5","30,7","306,0","0,6"
2012,"17281,5","32,0","17416,5","31,7","-135,0","0,3"
2013,"19496,3","33,8","19143,5","33,2","352,8","0,6"
1,"1768,1","39,5","1391,7","31,1","376,4","8,4"
2,"3202,3","38,4","2893,4","34,7","308,9","3,7"
3,"4669,4","36,1","4514,8","34,9","154,6","1,2"
4,"6653,9","38,6","6243,5","36,2","410,4","2,4"
5,"8249,4","37,3","7434,4","33,6","815,0","3,7"
6,"9524,5","35,0","8730,2","32,1","794,3","2,9"
7,"11371,4","35,2","10224,2","31,7","1147,2","3,6"
8,"12890,1","34,4","11623,2","31,1","1266,9","3,4"
9,"14330,1","33,5","12719,7","29,8","1610,4","3,8"
10,"16234,8","34,1","14020,7","29,5","2214,1","4,7"
12,"19496,3","33,8","19143,5","33,2","352,8","0,6"
2014,"18400,6","31,2","18709,0","31,7","-308,4","-0,5"
1,"1751,7","40,2","1726,8","39,6","24,9","0,6"
2,"3112,1","36,8","3062,6","36,2","49,5","0,6"
3,"4482,5","34,1","4374,3","33,3","108,2","0,8"
4,"6471,3","35,5","6068,7","33,3","402,6","2,2"
5,"8023,0","34,2","7368,5","31,4","654,5","2,8"
6,"9338,9","32,5","8723,9","30,4","615,0","2,1"
7,"11087,2","32,6","10313,2","30,3","774,0","2,3"
8,"12407,3","31,7","11468,9","29,3","938,4","2,4"
9,"14070,6","31,9","12693,5","28,8","1377,1","3,1"
10,"15786,7","32,3","13860,8","28,2","1925,9","3,9"
11,"17168,9","29,5","15096,9","28,1","2072,0","3,9"
12,"18400,6","31,2","18709,0","31,7","-308,4","-0,5"
2015,"17498,0","31,6","17784,5","32,7","-286,5","-0,5"
1,"1684,8","46,4","1263,2","34,8","421,6","11,6"
2,"2762,0","38,8","2682,0","37,7","80,0","1,1"
3,"3938,0","34,2","4189,8","36,4","-251,0","-2,2"
4,"5356,2","32,2","6178,7","37,1","-822,5","-4,9"
5,"6424,4","30,1","7330,2","34,3","-906,1","-4,2"
6,"7806,9","29,7","8577,8","32,7","-770,9","-2,9"
7,"9377,2","29,3","9972,9","31,1","-595,7","-1,9"
8,"10667,0","29,6","10794,0","30,0","-127,0","-0,4"
9,"12066,3","29,7","12158,4","29,9","-92,1","-0,2"
10,"13874,1","30,2","13925,3","30,3","-51,2","-0,1"
11,"15455,3","30,9","15469,2","30,9","-13,9","0,0"
12,"17498,0","32,2","17784,5","32,7","-286,5","-0,5"
2016,"17506,0","29,0","17751,0","29,6","-245,0","-0,4"
1,"1349,6","33,6","516,4","12,9","833,2","20,8"
2,"2382,5","30,2","1345,9","17,1","1036,6","13,1"
3,"3678,5","29,2","2623,4","20,8","1055,1","8,4"
4,"4713,6","27,9","3999,8","23,7","713,8","4,2"
5,"5453,9","25,4","5316,1","24,7","137,8","0,6"
6,"6133,8","22,7","6821,5","25,3","-687,7","-2,5"
7,"7007,5","21,8","8193,5","25,5","-1186,0","-3,7"
8,"8281,5","21,8","9348,5","24,6","-1067,0","-2,8"
9,"10103,1","23,3","10622,2","24,5","-519,1","-1,2"
10,"12103,9","24,6","12468,2","25,3","-364,3","-0,7"
11,"12965,5","23,8","13927,4","25,6","-961,9","-1,8"
12,"17506,0","29,0","17751,0","29,6","-245,0","-0,4"
2017,"16516,7","23,5","17594,5","25,1","-1077,8","-1,6"
1,"1243,6","23,8","924,9","17,7","318,7","6,1"
2,"2370,5","23,6","2191,7","21,8","178,8","1,8"
3,"3591,5","23,6","3912,7","25,7","-321,2","-2,1"
4,"5021,9","24,9","5390,0","26,8","-368,1","-1,8"
5,"6335,7","25,0","6724,1","26,5","-388,4","-1,5"
6,"7722,8","24,7","8193,9","26,2","-471,1","-1,5"
7,"9410,7","25,0","9765,6","25,9","-354,9","-0,9"
8,"10788,8","24,7","11327,5","25,9","-538,7","-1,2"
9,"12045,1","24,1","12783,7","25,5","-738,6","-1,5"
10,"13557,2","24,0","14150,2","25,1","-593,0","-1,0"
11,"14749,3","23,4","15463,1","24,5","-713,8","-1,1"
12,"16516,7","23,5","17594,5","25,1","-1077,8","-1,5"
2018,"22508,9","28,1","22731,6","28,5","-222,8","-0,3"
1,"1393,1","23,0","976,5","16,1","416,6","7,2"
2,"2609,5","22,6","2469,6","21,4","139,9","1,2"
3,"4563,0","26,6","4408,0","25,7","155,0","0,9"
4,"6619,9","28,8","5966,0","26,0","653,9","2,8"
5,"8245,2","28,1","7594,4","25,9","650,8","2,2"
6,"9821,6","26,5","9524,3","25,7","297,3","0,8"
7,"12078,1","27,7","11649,3","26,2","428,8","1,0"
8,"14029,7","27,8","13485,7","26,7","544,0","1,1"
9,"16089,7","27,9","15666,0","27,1","423,7","0,7"
10,"18196,9","27,9","17769,9","27,2","427,0","0,7"
11,"20144,7","27,8","19670,1","27,2","474,6","0,7"
12,"22508,9","28,1","22731,6","28,5","-222,8","-0,3"
2019,"24218,1","29,6","24425,9","29,9","-207,8","-0,3"
1,"2097,1","35,4","1269,1","21,4","828,0","14,0"
2,"3532,9","30,8","2954,8","25,7","578,1","5,0"
3,"5439,7","30,0","5035,9","27,8","403,8","2,2"
4,"7503,4","31,5","7220,5","30,3","282,9","1,2"
5,"8999,3","29,4","9426,1","30,8","-426,8","-1,4"
6,"10405,5","27,5","10951,0","29,0","-545,5","-1,4"
7,"12435,5","28,0","13102,7","29,5","-667,2","-1,5"
8,"14810,3","29,1","14712,1","28,9","98,2","0,2"
9,"16871,2","28,9","16690,6","28,5","180,6","0,3"
10,"19273,9","29,5","18433,6","28,2","840,3","1,3"
11,"21132,2","29,0","20175,3","27,7","956,9","1,3"
12,"24218,1","29,6","24425,9","29,9","-207,8","-0,3"
2020,"24681,7","34,1","26416,3","36,5","-1734,6","-2,4"
1,"1821,0","27,4","1402,9","21,1","418,1","6,3"
2,"3613,2","28,9","3330,2","26,6","283,0","2,3"
3,"7810,9","43,6","5254,8","29,3","2556,1","14,3"
4,"9574,2","42,2","7267,7","32,1","2306,5","10,2"
5,"10527,5","38,1","9392,2","34,0","1135,3","4,1"
6,"12022,7","35,0","11730,8","34,1","291,9","0,8"
7,"13960,2","34,6","14142,6","35,1","-182,4","-0,5"
8,"15954,7","34,6","16356,2","35,5","-401,5","-0,9"
9,"17964,5","34,3","18642,1","35,6","-677,6","-1,3"
10,"20207,1","34,6","20722,1","35,5","-515,0","-0,9"
11,"22241,1","34,5","22162,7","34,4","78,4","0,1"
12,"24681,7","34,0","26416,3","36,4","-1734,6","-2,4"
2021,"26396,3","28,5","27422,4","29,5","-1026,1","-1,1"
1,"2320,6","37,1","1231,9","19,7","1088,7","17,4"
2,"4029,4","32,4","3469,8","27,9","559,6","4,5"
3,"5736,4","29,9","5523,7","28,8","212,7","1,1"
4,"8234,3","32,8","7527,7","30,0","706,6","2,8"
5,"9735,2","30,3","9366,3","29,2","368,9","1,1"
6,"11755,0","28,8","11590,5","28,4","164,5","0,4"
7,"14049,3","29,2","13681,6","28,4","367,7","0,8"
8,"15937,5","28,7","15626,8","28,1","310,7","0,6"
9,"17871,6","28,0","17711,9","27,7","159,7","0,2"
10,"20234,2","27,9","20184,7","27,9","49,5","0,1"
11,"22725,3","28,2","22309,5","27,6","415,8","0,5"
12,"26396,3","28,5","27422,4","29,5","-1026,1","-1,1"
2022,"30679,6","22,9","32064,6","24,0","-1385,0","-1,0"
1,"2746,9","29,7","983,4","10,6","1763,5","19,0"
2,"4626,1","24,1","2685,1","14,0","1941,0","10,4"
