date,nominal_effektiv_mezenne_umumi,nem_qeyri_neft,real_effektiv_mezenne_umumi,rem_qeyri_neft
2000,"100,0","100,0","100,0","100,0"
2001,"105,3","110,1","97,2","96,4"
2002,"97,3","105,8","86,9","87,1"
2003,"85,5","95,8","75,2","75,4"
2004,"80,2","91,2","74,2","73,8"
2005,"92,1","101,8","85,8","81,4"
2006,"90,0","101,5","89,0","84,5"
2007,"85,4","97,1","95,1","89,1"
2008,"100,1","117,2","121,8","114,1"
2009,"98,3","119,1","115,5","110,0"
2010,,,,
1,"99,2","119,2","117,4","109,7"
2,"102,4","121,2","121,9","111,8"
3,"102,2","120,6","122,4","111,9"
4,"102,6","120,1","122,6","111,2"
5,"107,1","124,0","127,5","114,4"
6,"109,3","126,1","129,4","115,6"
7,"106,3","123,6","125,7","113,1"
8,"105,2","122,4","124,8","112,2"
9,"104,7","122,7","124,8","112,5"
10,"100,7","119,8","120,5","110,0"
11,"101,8","121,3","123,8","112,8"
12,"104,2","123,2","127,7","115,3"
2011,,,,
1,"103,8","122,8","128,1","114,7"
2,"102,8","121,8","128,9","115,4"
3,"101,3","120,4","127,3","114,4"
4,"99,1","118,6","123,3","111,6"
5,"99,8","119,5","123,2","110,9"
6,"100,2","121,2","122,8","111,6"
7,"101,1","123,6","123,3","113,1"
8,"101,6","123,9","124,2","113,6"
9,"104,5","127,4","128,3","117,3"
10,"105,1","128,4","128,6","117,2"
11,"105,7","128,6","130,4","117,8"
12,"108,1","131,9","134,2","121,6"
2012,,,,
1,"109,3","132,3","136,2","121,7"
2,"107,1","129,2","133,1","118,4"
3,"107,3","129,1","132,5","117,9"
4,"107,4","129,4","131,5","116,9"
5,"109,6","131,9","133,0","118,0"
6,"112,0","135,4","134,1","119,4"
7,"113,0","135,5","134,7","118,4"
8,"112,5","134,5","132,9","116,6"
9,"110,1","132,9","130,0","115,1"
10,"109,3","132,2","129,6","114,7"
11,"110,0","132,8","132,0","116,1"
12,"108,3","131,3","130,3","114,8"
2013,,,,
1,"107,3","130,3","130,8","114,7"
2,"107,1","130,4","130,7","114,6"
3,"109,2","132,4","133,1","116,6"
4,"109,0","132,8","133,4","117,1"
5,"109,3","133,2","133,0","116,6"
6,"108,9","134,7","130,7","116,1"
7,"109,7","135,9","130,8","116,1"
8,"108,8","136,1","129,3","115,8"
9,"109,4","138,8","129,5","117,7"
10,"107,7","137,2","128,3","116,5"
11,"108,7","138,6","130,3","118,3"
12,"108,1","139,0","131,5","120,3"
2014,,,,
1,"109,0","141,5","132,8","121,7"
2,"110,1","144,7","134,1","124,3"
3,"109,8","145,5","133,1","124,3"
4,"110,1","146,7","133,1","124,6"
5,"109,8","145,7","131,2","122,1"
6,"110,3","146,1","129,8","120,4"
7,"110,2","146,1","128,9","119,4"
8,"112,3","149,6","131,1","122,0"
9,"115,3","153,5","135,4","125,8"
10,"117,4","157,3","137,8","128,3"
11,"120,6","163,7","141,6","133,2"
12,"124,5","173,1","146,6","140,7"
2015,,,,
1,"129,3","181,3","153,1","146,5"
2,"121,4","173,1","148,4","143,8"
3,"101,9","143,2","124,4","118,4"
4,"101,1","139,0","122,4","113,3"
5,"99,0","136,3","118,7","110,0"
6,"99,6","139,5","118,1","111,2"
7,"100,7","141,8","118,8","112,2"
8,"102,3","148,4","120,4","117,0"
9,"103,3","152,1","121,6","119,7"
10,"102,6","149,6","120,5","117,1"
11,"104,6","152,2","123,1","119,0"
12,"89,7","132,9","110,0","107,6"
2016,,,,
1,"71,0","107,1","92,3","91,3"
2,"70,7","107,4","92,2","91,7"
3,"68,2","102,1","88,9","87,2"
4,"70,8","105,5","92,2","89,8"
5,"71,7","106,8","92,8","90,5"
6,"71,3","105,9","91,7","89,1"
7,"70,2","103,2","90,0","86,4"
8,"67,6","99,8","87,0","84,0"
9,"66,8","98,6","87,7","84,6"
10,"68,8","100,5","91,2","86,8"
11,"67,2","98,4","90,3","86,1"
12,"66,3","96,3","91,3","86,3"
2017,,,,
1,"64,2","93,0","90,2","84,7"
2,"64,6","93,5","91,9","86,1"
3,"66,4","96,0","95,5","89,4"
4,"66,7","96,2","95,6","89,3"
5,"66,0","95,8","94,6","88,9"
6,"65,7","95,5","93,1","87,5"
7,"65,5","96,1","93,1","88,2"
8,"64,9","95,3","92,2","87,6"
9,"64,1","94,0","91,5","86,7"
10,"65,3","95,7","93,6","88,7"
11,"66,3","97,7","94,9","90,2"
12,"65,9","97,3","94,3","89,8"
2018,,,,
1,"64,5","95,2","92,2","87,6"
2,"64,1","94,8","91,3","86,9"
3,"64,4","95,3","91,4","87,1"
4,"65,4","97,5","92,2","88,5"
5,"67,6","100,5","94,8","90,7"
6,"68,6","102,0","95,0","90,9"
7,"69,4","103,4","95,4","91,3"
8,"72,8","109,6","100,2","96,9"
9,"73,7","112,1","100,3","97,7"
10,"73,1","110,2","98,9","95,3"
11,"72,6","108,9","98,9","94,8"
12,"72,6","108,9","99,6","95,4"
2019,,,,
1,"72,4","108,7","99,5","95,0"
2,"72,0","107,8","99,3","94,3"
3,"72,4","108,2","99,6","94,7"
4,"73,3","109,4","100,3","95,4"
5,"74,2","111,0","100,7","95,9"
6,"73,4","109,6","99,1","94,3"
7,"73,0","108,7","98,6","93,3"
8,"73,6","110,0","98,9","93,8"
9,"74,0","110,4","99,4","94,1"
10,"74,0","110,3","99,2","93,8"
11,"73,6","109,6","99,1","93,5"
12,"73,4","109,3","99,0","93,4"
2020,,,,
1,"73,4","109,0","99,6","93,3"
2,"74,6","111,0","101,7","95,4"
3,"76,6","115,9","104,9","100,3"
4,"78,6","118,9","107,4","102,7"
5,"78,4","118,3","106,3","101,3"
6,"76,3","115,5","102,8","98,3"
7,"76,2","115,8","102,1","97,9"
8,"76,0","116,4","101,5","98,1"
9,"76,9","118,0","102,5","99,1"
10,"77,9","119,4","103,1","99,9"
11,"77,6","118,9","102,7","99,3"
12,"75,6","116,2","100,3","97,1"
2021,,,,
1,"74,9","115,2","99,9","96,8"
2,"74,7","114,8","100,6","97,3"
3,"75,9","116,5","102,2","98,9"
4,"77,6","119,2","104,0","100,8"
5,"76,8","117,9","102,4","99,2"
6,"77,0","118,1","101,5","98,2"
7,"77,7","119,2","102,7","99,4"
8,"77,4","118,8","102,4","99,1"
9,"77,4","118,6","103,4","100,0"
10,"78,6","119,9","105,5","101,4"
11,"81,3","124,0","109,5","105,2"
12,"85,4","130,3","113,6","109,2"
2022,,,,
1,"86,0","131,7","113,3","109,4"
2,"86,4","132,8","113,3","109,6"
3,"93,2","147,5","119,5","118,6"
4,"91,2","137,8","115,9","109,3"
5,"91,6","133,9","115,8","105,8"
6,"91,9","132,7","114,3","103,0"
7,"94,4","135,5","117,2","104,9"
8,"95,6","138,3","119,1","107,5"
9,"97,4","140,1","123,6","111,1"
10,"98,6","142,3","125,3","113,1"
11,"96,6","140,6","123,2","112,1"
12,"95,2","141,2","122,3","113,1"
2023,,,,
1,"94,9","142,4","121,4","113,0"
2,"95,8","144,3","123,0","115,0"
3,"96,5","146,1","123,7","116,1"
