Date,Total,of which,,Residents,of which,,Nonresidents,of which,,Short-term savings,in national currency,of which,,in foreign currency,of which,,of which transaction accounts,in national currency,of which,,in foreign currency,of which,,Long-term savings,in national currency,of which,,in foreign currency,of which,
,,in national currency,in foreign currency,,in national currency,in foreign currency,,in national currency,in foreign currency,,,Residents,Nonresidents,,Residents,Nonresidents,,,Residents,Nonresidents,,Residents,Nonresidents,,,Residents,Nonresidents,,Residents,Nonresidents
2009,"2334,9","965,6","1369,3","2150,0","940,3","1209,6","184,9","25,2","159,6","1581,7","729,5","716,3","13,2","852,2","767,8","84,4","520,0","353,5","345,9","7,6","166,5","142,3","24,2","753,1","236,1","224,0","12,1","517,1","441,8","75,2"
2010,"3029,8","1409,9","1619,8","2753,1","1369,7","1383,5","276,6","40,3","236,4","1982,6","1050,5","1028,7","21,8","932,1","822,4","109,7","574,1","385,0","373,9","11,1","189,1","158,1","31,0","1047,2","359,5","341,0","18,5","687,7","561,1","126,6"
2011,"4119,8","2281,7","1838,2","3747,4","2225,3","1522,1","372,5","56,4","316,0","2640,3","1615,5","1576,7","38,8","1024,8","846,8","178,0","843,8","613,1","598,9","14,2","230,6","188,5","42,2","1479,6","666,2","648,5","17,6","813,4","675,4","138,0"
2012,"5113,4","2963,9","2149,6","4525,2","2889,8","1635,4","588,2","74,1","514,1","3132,6","2058,6","2002,2","56,4","1074,0","886,2","187,8","1042,8","777,1","760,3","16,9","265,7","227,8","37,9","1980,8","905,3","887,6","17,7","1075,5","749,2","326,4"
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5315,4","3172,6","2142,8","4715,4","3054,2","1661,2","600,0","118,4","481,6","3184,4","2123,7","2067,0","56,7","1060,7","907,7","153,0","1068,0","792,9","778,0","15,0","275,0","234,4","40,6","2130,9","1048,9","987,2","61,7","1082,1","753,6","328,5"
2,"5416,8","3226,6","2190,2","4798,9","3109,8","1689,0","618,0","116,8","501,2","3189,3","2139,3","2084,3","54,9","1050,0","892,7","157,3","1128,9","864,9","849,3","15,7","264,0","222,5","41,5","2227,6","1087,4","1025,5","61,8","1140,2","796,4","343,9"
3,"5536,0","3259,8","2276,2","4871,3","3144,5","1726,8","664,7","115,3","549,4","3269,0","2197,4","2143,9","53,5","1071,5","910,5","161,0","1145,0","858,8","842,6","16,2","286,2","239,9","46,3","2267,0","1062,4","1000,6","61,8","1204,7","816,3","388,4"
4,"5768,3","3478,1","2290,2","5080,6","3362,0","1718,6","687,6","116,1","571,6","3230,9","2183,1","2128,2","55,0","1047,8","897,0","150,9","1113,8","854,5","838,9","15,6","259,3","223,9","35,4","2537,4","1295,0","1233,8","61,1","1242,4","821,7","420,7"
