date,udm_total,udm_growth,udm_deflyatoru,qnudm_total,qnudm_growth,investisiya_total,investisiya_growth,gelir_total,gelir_growth,orta_ayliq_gelir_total,orta_ayliq_gelir_growth,qiymet_deyisini_vs_evvelki ay,qiymet_deyisimi_son_12_ay,ortalama_qiymet_deyisimi_illik
2016,"60425,2","96,9","114,7","35951,1","95,6","15772,8","78,3","45395,1","108,7","498,6","107,4","3,0","15,7","12,4"
2017,"70337,8","100,2","116,0","40328,0","102,8","17430,3","102,8","49187,9","108,3","528,2","105,9","0,5","7,9","12,9"
2018,"80092,0","101,5","111,5","41662,0","102,0","17244,9","95,7","53103,7","109,2","544,1","103,0","0,8","1,5","2,3"
2019,"81896,2","102,5","99,8","44481,8","104,0","18539,5","105,5","56769,0","107,4","634,8","116,6","0,5","2,4","2,6"
2020,"72578,1","95,8","92,5","45312,2","97,1","17226,1","92,7","55754,1","98,2","707,3","111,4","0,8","2,6","2,8"
1,"6646,9","102,4","102,3","3381,9","104,8","996,7","112,6","4057,5","106,8","712,1","127,8","0,6","2,7","2,7"
2,"12504,0","102,8","102,3","6600,1","106,7","1965,2","112,7","8301,5","108,9","712,3","128,4","0,7","2,9","2,8"
3,"17928,1","101,1","98,1","10077,9","103,5","2929,4","106,5","13442,5","106,8","744,5","128,9","1,0","3,3","3,0"
4,"22674,0","100,2","92,2","12610,4","99,2","3903,5","99,5","17145,7","101,3","736,2","126,7","0,1","3,0","3,0"
5,"27640,6","98,3","91,2","15796,5","97,9","4907,6","97,2","22382,1","101,3","728,9","124,9","-0,5","2,9","2,9"
6,"34378,7","97,3","90,4","20155,0","97,6","5956,2","97,3","27377,8","100,6","720,0","123,0","-0,3","3,0","3,0"
7,"40325,2","97,2","91,2","24082,9","98,5","7588,3","102,6","32144,8","100,2","715,4","121,7","-0,3","2,7","2,9"
8,"46113,2","97,0","91,4","27634,4","98,4","8682,4","100,7","36809,4","100,1","710,2","120,5","-0,2","2,8","2,9"
9,"52344,3","96,1","91,7","31778,0","97,7","10430,2","96,2","41609,0","99,1","706,6","117,1","0,1","2,6","2,9"
10,"58454,4","96,2","92,3","36031,0","97,7","11540,2","97,9","46056,8","98,6","704,5","114,7","0,2","2,3","2,8"
11,"64441,3","95,7","92,5","39926,9","97,2","12716,6","96,0","50173,1","98,7","703,5","112,9","0,5","2,4","2,8"
12,"72578,1","95,8","92,5","45312,2","97,1","17226,1","92,7","55754,1","98,2","707,3","111,4","0,8","2,6","2,8"
2021,"93203,2","105,6","121,6","51122,2","107,1","16815,5","95,5","57206,8","102,6","732,1","103,4","1,6","12,0","6,7"
1,"6256,8","97,5","96,5","3444,7","100,1","724,0","72,5","4011,2","98,7","690,9","97,0","1,2","3,3","3,3"
2,"12419,7","96,8","99,3","6611,4","99,6","1338,4","68,0","7979,9","95,8","692,3","97,2","1,6","4,2","3,7"
3,"19181,9","98,7","106,9","10413,3","102,1","2365,2","80,6","13455,9","98,9","713,2","95,8","0,9","4,1","3,9"
4,"25119,8","99,8","110,8","13638,4","104,1","3752,8","91,3","17037,9","98,9","722,3","98,1","0,3","4,3","4,0"
5,"32126,2","100,8","113,1","17321,8","104,5","4907,0","94,7","22090,0","99,2","724,0","99,3","0,0","4,9","4,2"
6,"40763,7","102,1","113,7","22467,5","105,1","5919,4","92,4","27580,7","100,4","724,4","100,6","-0,5","4,7","4,3"
7,"48103,7","102,7","114,1","26511,9","105,3","7059,3","87,9","32321,0","100,6","728,5","101,8","0,9","6,0","4,5"
8,"55576,7","103,6","114,6","30574,3","105,7","8259,4","89,9","37170,4","101,2","725,6","102,2","0,5","6,7","4,8"
9,"63889,0","104,8","114,7","35352,0","106,2","9560,2","91,3","42251,7","102,0","723,2","102,3","1,8","8,5","5,2"
10,"72407,8","104,9","116,7","39913,3","105,9","10568,5","88,5","47259,8","102,4","722,9","102,6","1,6","10,0","5,7"
11,"81100,7","105,3","118,9","44419,7","106,4","11708,1","88,8","51619,3","102,5","724,1","102,9","1,5","11,1","6,2"
12,"93203,2","105,6","121,6","51122,2","107,1","16815,5","95,5","57206,8","102,6","732,1","103,4","1,6","12,0","6,7"
2022,"133972,7","104,7","137,3","61509,1","109,0","17878,2","103,3","69163,0","120,9","839,4","114,7","1,0","14,4","13,9"
1,"9283,5","105,8","139,5","4085,8","108,7","658,1","88,9","4675,9","115,5","765,9","110,9","1,6","12,5","12,5"
2,"18742,8","106,7","144,7","8093,6","110,1","1339,7","97,9","9273,2","115,6","768,3","111,0","1,1","11,9","12,2"
3,"29676,7","106,8","146,7","13080,5","110,3","2440,7","90,5","16043,8","119,2","809,0","113,4","1,1","12,1","12,2"
4,"39859,0","107,2","146,9","16870,8","111,3","3678,0","94,7","20480,9","119,6","824,7","114,2","1,0","13,0","12,4"
5,"51073,9","107,2","147,8","21730,4","111,0","4915,5","96,8","26422,4","119,6","825,3","114,0","0,7","13,7","12,6"
6,"63389,6","106,2","146,4","27965,8","109,4","6299,6","100,7","33017,4","119,6","827,1","114,2","-0,1","14,2","12,9"
7,"74910,1","106,2","145,2","32909,3","109,9","7301,7","100,1","38806,6","120,1","831,3","114,1","0,5","13,7","13,0"
8,"85691,4","105,8","144,3","37985,1","110,2","9117,0","106,9","44491,2","120,0","829,0","114,3","0,9","14,2","13,2"
