date,npl_total,npl_business,npl_consumer,npl_mortgage,npl_ratio_total,npl_ratio_business,npl_ratio_consumer,npl_ratio_mortgage
31.12.21,"748,0","498,3","183,4","66,2","4,5%","5,1%","4,1%","2,8%"
31.12.22,"735,3","507,3","184,9","43,0","3,8%","4,7%","3,2%","1,4%"
31.12.23,"614,2","378,0","196,8","39,4","2,6%","3,0%","2,8%","1,1%"
31.12.24,"655,1","374,8","246,3","34,0","2,4%","2,5%","2,9%","0,8%"
31.01.25,"690,6","389,4","267,2","34,0","2,5%","2,6%","3,1%","0,8%"
28.02.25,"698,6","382,5","282,1","34,0","2,5%","2,6%","3,3%","0,8%"
31.03.25,"709,9","391,2","283,6","35,1","2,5%","2,6%","3,3%","0,8%"
30.04.25,"734,1","393,0","306,4","34,7","2,6%","2,6%","3,5%","0,8%"
31.05.25,"776,4","420,8","319,6","36,0","2,7%","2,8%","3,6%","0,8%"
30.06.25,"787,0","430,8","321,0","35,2","2,8%","2,8%","3,6%","0,8%"
31.07.25,"791,9","446,9","311,6","33,3","2,8%","3,0%","3,5%","0,7%"
31.08.25,"791,2","449,4","310,2","31,6","2,8%","3,0%","3,4%","0,7%"
30.09.25,"797,6","450,9","314,2","32,5","2,7%","2,9%","3,4%","0,7%"
31.10.25,"805,3","447,4","325,8","32,1","2,7%","2,9%","3,5%","0,7%"
30.11.25,"818,0","447,8","339,0","31,2","2,8%","2,8%","3,6%","0,7%"
31.12.25,"762,6","428,8","304,6","29,1","2,5%","2,7%","3,3%","0,6%"
31.01.26,"794,0","461,1","303,9","29,1","2,6%","2,9%","3,2%","0,6%"
