date,current_account,foreign_trade_balance,export_of_goods,export_of_goods_oil_and_gas_sector,export_of_goods_other_sectors,import_of_goods,import_of_goods_oil_and_gas_sector,import_of_goods_other_sectors,balance_of_services,balance_of_services_oil_and_gas_sector,balance_of_services_other_sectors,services_transport,services_construction,primary_income,primary_income_oil_and_gas_sector,primary_income_other_sectors,primary_income_receipts,primary_income_payments,secondary_income,secondary_income_remittances,secondary_income_receipts,secondary_income_payments,capital_account,financial_account,financial_account_net_acquisition_of_financial_assets,financial_account_direct_investment_abroad,financial_account_portfolio_and_other_investments_assets,financial_account_net_incurrence_of_liabilities,financial_account_direct_investment_in_azerbaijan,financial_account_repatriation_of_investments,financial_account_oil_bonus,financial_account_portfolio_and_other_investments_liabilities,net_errors_and_omissions,changes_in_reserve_assets
01.10.2019,362,1.636,4.848,4.338,510,-3.212,-557,-2.655,-775,-511,-264,-143,-265,-614,-959,345,606,-1.219,115,121,241,-120,-15,-475,661,767,-106,1.136,1.605,-856,0,387,154,976
01.10.2020,-20,168,2.825,2.27,555,-2.657,-509,-2.148,-789,-576,-213,126,-267,344,-79,423,692,-348,257,238,412,-174,1,295,720,305,415,425,1.136,-754,0,43,130,-184
01.01.2021,628,1.549,3.841,3.384,457,-2.292,-404,-1.888,-818,-680,-138,209,-630,-200,-377,177,483,-683,97,105,227,-122,0,-15,524,106,418,539,1.401,-1.28,451,-33,-317,326
01.04.2021,1.251,1.97,4.512,3.906,606,-2.542,-432,-2.11,-482,-297,-186,180,-360,-358,-512,153,396,-755,121,131,265,-134,-5,593,171,77,95,-422,1.235,-1.279,2,-379,283,935
01.07.2021,2.061,2.887,5.54,4.924,616,-2.653,-404,-2.249,-465,-325,-139,175,-332,-507,-591,84,436,-942,145,135,281,-146,0,879,44,-51,95,-834,1.029,-1.723,2,-143,-6,1.176
01.10.2021,4.352,4.867,7.799,6.931,868,-2.932,-384,-2.547,-358,-343,-15,267,-333,-253,-377,124,501,-754,96,101,361,-259,1,3.595,1.824,-55,1.879,-1.772,1.131,-2.678,2,-227,-113,644
01.01.2022,3.953,5.447,8.124,7.417,708,-2.677,-332,-2.346,-628,-477,-150,231,-269,-962,-1.125,164,400,-1.362,95,88,240,-152,0,1.196,849,-36,885,-347,1.814,-2.842,450,231,-1.184,1.572
01.04.2022,6.378,7.575,10.778,10.074,703,-3.202,-722,-2.48,-704,-491,-213,215,-256,-1.692,-1.79,98,278,-1.969,1.199,1.215,1.364,-149,0,4.102,2.527,99,2.428,-1.575,1.406,-2.414,2,-569,785,3.061
01.07.2022,7.38,8.67,12.325,11.696,629,-3.655,-594,-3.061,-616,-457,-158,766,-297,-1.651,-1.751,100,398,-2.049,977,954,1.175,-221,2,4.297,2.37,-23,2.393,-1.927,1.357,-2.981,0,-303,-112,2.973
01.10.2022,5.767,7.005,10.98,10.08,900,-3.975,-891,-3.083,-750,-557,-193,1.021,-313,-1.182,-1.411,229,466,-1.648,695,698,841,-143,-2,2.89,2.033,132,1.901,-857,1.698,-2.965,0,410,-1.107,1.769
01.01.2023,3.376,4.721,8.484,7.584,900,-3.763,-849,-2.914,-687,-509,-178,264,-329,-956,-1.164,208,406,-1.362,298,319,452,-132,3,-1.303,-1.118,59,-1.177,184,1.501,-2.108,450,341,-1.228,3.454
01.04.2023,1.778,2.768,6.674,5.834,840,-3.905,-1.117,-2.788,-427,-470,44,309,-352,-862,-1.092,230,431,-1.293,299,317,439,-122,-10,794,1.108,-161,1.269,314,1.478,-1.54,0,376,817,1.791
01.07.2023,1.519,2.488,6.669,6.017,652,-4.182,-870,-3.312,-634,-525,-109,244,-363,-573,-779,206,611,-1.184,238,243,390,-147,-2,110,-335,1.857,-2.192,-445,1.393,-1.463,21,-395,-251,1.157
01.10.2023,1.655,2.829,7.376,6.5,876,-4.547,-13,-4.534,-587,-558,-29,343,-387,-809,-899,90,521,-1.33,222,226,374,-148,-1,4.683,3.599,120,3.478,-1.084,2.286,-1.765,0,-1.604,1.983,-1.046
01.01.2024,1.73,2.669,6.184,5.521,664,-3.515,-506,-3.009,-552,-476,-77,279,-330,-566,-906,340,560,-1.127,179,163,294,-131,-1,1.595,-464,-12,-452,-2.058,1.509,-1.867,456,-2.156,-19,116
01.04.2024,896,1.954,6.168,5.263,905,-4.214,-633,-3.582,-560,-445,-114,281,-358,-663,-870,207,665,-1.329,165,145,273,-128,1,615,592,433,159,-22,1.47,-1.485,0,-7,250,532
01.07.2024,1.328,2.381,6.913,6.096,816,-4.532,-645,-3.887,-452,-446,-5,302,-272,-749,-837,88,700,-1.449,148,132,281,-149,-1,1.361,1.262,163,1.1,-99,1.544,-1.406,1,-239,-432,-466
01.10.2024,718,1.821,6.727,5.871,856,-4.906,-685,-4.221,-487,-476,-12,430,-317,-756,-769,12,668,-1.424,141,116,234,-118,-1,1.431,1.317,158,1.158,-114,2.524,-2.515,0,-123,94,-620
01.01.2025,1.143,2.445,6.213,5.471,742,-3.767,-510,-3.257,-753,-375,-378,328,-306,-656,-704,48,615,-1.271,107,117,229,-113,-1,1.225,1.18,-144,1.324,-45,1.519,-1.759,450,-256,-330,-413
01.04.2025,1.175,1.716,6.013,5.067,947,-4.297,-604,-3.693,-295,-330,35,528,-377,-422,-687,265,744,-1.165,176,179,304,-126,-2,1.534,1.809,660,1.149,275,1.704,-1.66,0,231,500,138
01.07.2025,683,1.438,5.969,5.128,841,-4.531,-593,-3.938,-315,-377,62,439,-422,-626,-781,155,796,-1.422,186,193,316,-123,-3,1.305,1.49,406,1.084,186,1.514,-1.623,0,295,-226,-851
